H01|031201|2000000011|2021-02-28|LBASRJK|500|0|
D01|7100000000||26983886036553|408085597266|27391971633819||
D01|7200000000||16940858425371|408085597266|17348944022637||
D01|7000000000||10043027611182|0|10043027611182||
D01|7301010000||156664690766|812095923|157476786689||
D01|7301020000||2080400000|0|2080400000||
D01|7301000000||158745090766|812095923|159557186689||
D01|7302000000||14458593897|4062142399|18520736296||
D01|7303010000||445160185143|0|445160185143||
D01|7303020000||97171504071|0|97171504071||
D01|7303030000||245293099546|0|245293099546||
D01|7303000000||787624788760|0|787624788760||
D01|7304000000||883551110916||883551110916||
D01|7305000000||24496398182||24496398182||
D01|7300000000||1868875982521|4874238322|1873750220843||
D01|7400000000||||8169277390339||
D01|7000000099||||535.99||
D01|7501000000||0||||
D01|7502000000||200000000||||
D01|7601000000||200.00|200.00|200.00|200.00|200.00
D01|7602000000||0.00|547.00|467.00|429.00|461.00
D01|7701000000|isi penjelasan|||||
D01|7702000000|isi penjelasan|||||
