H01|031201|2000000011|2021-02-28|LBASRJK|504|1|
D01|1403010000|15.00|932643400000|139896510000|0|0|139896510000
D01|1403020000|20.00|249342270000|49868454000|0|0|49868454000
D01|1407010000|20.00|0|0|0|0|0
D01|1407020000|30.00|0|0|0|0|0
D01|1410010000|0.00|3632937908968|0|0|0|0
D01|1410020000|6.00|0|0|0|0|0
D01|1410030000|16.00|461799818105|73887970897|0|0|73887970897
D01|1410040000|0.00|0|0|0|0|0
D01|1411010000|1.60|0|0|0|0|0
D01|1411020000|2.80|0|0|0|0|0
D01|1411030000|4.00|0|0|0|0|0
D01|1411040000|6.00|0|0|0|0|0
D01|1411050000|12.00|0|0|0|0|0
D01|1412000000|10.00|0|0|||0
D01|1413000000|10.00|0|0|||0
D01|1414010000|10.00|55822563873|5582256387|||5582256387
D01|1414020000|20.00|879084674297|175816934859|||175816934859
D01|1414030000|0.00|0|0|||0
D01|1415010000|7.00|0|0|||0
D01|1415020000|15.00|0|0|||0
D01|1415030000|40.00|0|0|||0
D01|1417000000|3.00|0|0|0|0|0
D01|1509000000|4.00|2701475000|108059000|||108059000
D01|1000000000||6214332110243|445160185143|0|0|445160185143
