H01|031201|2000000011|2021-02-28|LBASRJK|105|2|TEST-01-LBASRJK-4Net
D01|1400050100|Axis Bank Ltd|ID|103|0|0|0|5044782124
D01|1400050100|Bank of China Ltd|ID|103|0|0|0|3394020782
D01|1400050100|Bank of Communications Co Ltd|ID|103|0|0|0|3310600665
D01|1400050100|Bharat Petroleum Corp Ltd|ID|103|0|0|0|1898507957
D01|1400050100|BOCOM International Holdings Co Ltd|ID|103|0|0|0|2298001
D01|1400050100|China Construction Bank Corp|ID|103|0|0|0|3001607078
D01|1400050100|China Everbright International Ltd|ID|103|0|0|0|2103052401
D01|1400050100|China Life Insurance Co Ltd|ID|103|0|0|0|3015625208
D01|1400050100|China Merchants Bank Co Ltd|ID|103|0|0|0|3157888778
D01|1400050100|China Mobile Ltd|ID|103|0|0|0|3971239541
D01|1400050100|China Overseas Land & Investment Ltd|ID|103|0|0|0|3715958449
D01|1400050100|China Overseas Property Holdings Ltd|ID|103|0|0|0|4235
D01|1400050100|China Petroleum & Chemical Corp|ID|103|0|0|0|2698051795
D01|1400050100|China Resources Land Ltd|ID|103|0|0|0|3144943958
D01|1400050100|China Unicom Hong Kong Ltd|ID|103|0|0|0|2179833675
D01|1400050100|Cipla Ltd/India|ID|103|0|0|0|1892460850
D01|1400050100|CNOOC Ltd|ID|103|0|0|0|3423534971
D01|1400050100|Coal India Ltd|ID|103|0|0|0|1278784324
D01|1400050100|Eicher Motors Ltd|ID|103|0|0|0|1191654444
D01|1400050100|Havells India Ltd|ID|103|0|0|0|992145602
D01|1400050100|HCL Technologies Ltd|ID|103|0|0|0|3191037843
D01|1400050100|HDFC Bank Ltd|ID|103|0|0|0|6584450132
D01|1400050100|Hengan International Group Co Ltd|ID|103|0|0|0|2297890431
D01|1400050100|Hindustan Unilever Ltd|ID|103|0|0|0|2692336513
D01|1400050100|Housing Development Finance Corp Ltd|ID|103|0|0|0|4778772400
D01|1400050100|ICICI Bank Ltd|ID|103|0|0|0|4748717659
D01|1400050100|Industrial & Commercial Bank of China|ID|103|0|0|0|3720830510
D01|1400050100|IndusInd Bank Ltd|ID|103|0|0|0|4883933913
D01|1400050100|Infosys Ltd|ID|103|0|0|0|6263034959
D01|1400050100|ITC Ltd|ID|103|0|0|0|3464072831
D01|1400050100|Maruti Suzuki India Ltd|ID|103|0|0|0|4453359874
D01|1400050100|NTPC Ltd|ID|103|0|0|0|1046255751
D01|1400050100|PetroChina Co Ltd|ID|103|0|0|0|2824633639
D01|1400050100|Ping An Insurance Group Co of China Ltd|ID|103|0|0|0|3644475306
D01|1400050100|Power Grid Corp of India Ltd|ID|103|0|0|0|1324765462
D01|1400050100|Reliance Industries Ltd|ID|103|0|0|0|6630844366
D01|1400050100|Shree Cement Ltd|ID|103|0|0|0|1319642865
D01|1400050100|Sun Pharmaceutical Industries Ltd|ID|103|0|0|0|998097265
D01|1400050100|Tata Consultancy Services Ltd|ID|103|0|0|0|2472178734
D01|1400050100|Tata Motors Ltd|ID|103|0|0|0|1077749664
D01|1400050100|Tech Mahindra Ltd|ID|103|0|0|0|1749216174
D01|1400050100|Tencent Holdings Ltd|ID|103|0|0|0|4180806927
D01|1400050100|Ultratech Cement Ltd|ID|103|0|0|0|1531930483
D01|1400050100|Vedanta Ltd|ID|103|0|0|0|1069488463
D01|1400050100|Voltas Ltd|ID|103|0|0|0|1016944457
D01|1400050100|Yes Bank Ltd|ID|103|0|0|0|1602658490
D01|1400050100|Zee Entertainment Enterprises Ltd|ID|103|0|0|0|64896562
D01|1400050100|Apache Corporation |ID|104|44512453708|0|44512453708|0
D01|1400050100|Canadian National Railway|ID|104|53581027908|0|53581027908|0
D01|1400050100|Consolidated Edison Inc (NY)|ID|104|52189709357|0|52189709357|0
D01|1400050100|Diageo Capital PLC|ID|104|52445684201|0|52445684201|0
D01|1400050100|Florida Power & Light Co.|ID|104|49156206307|0|49156206307|0
D01|1400050100|Inter-American Development Bank|ID|104|47751198867|0|47751198867|0
D01|1400050100|MidAmerican Energy|ID|104|51690284285|0|51690284285|0
D01|1400050100|Petronas Capital Ltd |ID|104|83697273663|0|83697273663|0
D01|1400050100|Temasek Financial Ltd|ID|104|147815365743|0|147815365743|0
