H01|031201|2000000011|2021-02-28|LBASRJK|501|3|
D01|1401010000|0.00|2000000000|0|0|0|0
D01|1401020100|1.20|463058583840|5556703006|0|0|5556703006
D01|1401020200|2.10|116910993040|2455130854|22862731318|480117358|2935248212
D01|1401020300|3.00|0|0|0|0|0
D01|1401020400|4.50|0|0|7377301450|331978565|331978565
D01|1401020500|9.00|0|0|0|0|0
D01|1402010000|0.00|0|0|0|0|0
D01|1402020100|1.20|0|0|0|0|0
D01|1402020200|2.10|0|0|0|0|0
D01|1402020300|3.00|0|0|0|0|0
D01|1402020400|4.50|0|0|0|0|0
D01|1402020500|9.00|0|0|0|0|0
D01|1404010000|1.60|1689097088832|27025553421|0|0|27025553421
D01|1404020000|2.80|220581925853|6176293924|0|0|6176293924
D01|1404030000|4.00|831936935722|33277477429|0|0|33277477429
D01|1404040000|6.00|78201863044|4692111783|0|0|4692111783
D01|1404050000|12.00|0|0|0|0|0
D01|1410010000|1.60|0|0|0|0|0
D01|1410020000|2.80|0|0|0|0|0
D01|1410030000|4.00|0|0|0|0|0
D01|1410040000|6.00|0|0|0|0|0
D01|1410050000|12.00|0|0|0|0|0
D01|1405010000|1.60|0|0|0|0|0
D01|1405020000|2.80|0|0|0|0|0
D01|1405030000|4.00|0|0|0|0|0
D01|1405040000|6.00|0|0|0|0|0
D01|1405050000|12.00|0|0|0|0|0
D01|1406000000|0.00|14711745377501|0|366367172660|0|0
D01|1407010000|1.60|870122076640|13921953226|0|0|13921953226
D01|1407020000|2.80|0|0|0|0|0
D01|1407030000|4.00|29621059272|1184842371|0|0|1184842371
D01|1407040000|6.00|0|0|0|0|0
D01|1407050000|12.00|0|0|0|0|0
D01|1408000000|0.00|0|0|0|0|0
D01|1409000000|0.00|0|0|0|0|0
D01|1413000000|1.00|0|0|0|0|0
D01|1416010000|1.60|0|0|||0
D01|1416020000|2.80|0|0|||0
D01|1416030000|4.00|0|0|||0
D01|1416040000|6.00|0|0|||0
D01|1415010100|2.80|0|0|||0
D01|1415010200|4.00|0|0|||0
D01|1415020100|5.60|0|0|||0
D01|1415020200|8.00|0|0|||0
D01|1415030000|12.00|0|0|||0
D01|1419000000|0.00|868380665998|0|||0
D01|1501000000|0.00|107277030000|0|||0
D01|1502000000|8.00|162060241638|12964819331|||12964819331
D01|1504010000|0.00|64658521504|0|||0
D01|1504020000|30.00|135121319620|40536395886|||40536395886
D01|1505010000|2.80|3077240000|86162720|||86162720
D01|1505020100|2.80|0|0|||0
D01|1505020200|4.00|0|0|||0
D01|1505020300|6.00|0|0|||0
D01|1505020400|12.00|0|0|||0
D01|1505020500|15.00|0|0|||0
D01|1503010000|2.80|0|0|||0
D01|1503020100|2.80|0|0|||0
D01|1503020200|4.00|0|0|||0
D01|1503020300|6.00|0|0|||0
D01|1503020400|12.00|0|0|||0
D01|1503020500|15.00|0|0|||0
D01|1506010000|2.80|17183041027|481125149|||481125149
D01|1506020100|2.80|0|0|||0
D01|1506020200|4.00|14084661655|563386466|||563386466
D01|1506020300|6.00|0|0|||0
D01|1506020400|12.00|0|0|||0
D01|1506020500|15.00|0|0|||0
D01|1507010000|2.00|0|0|||0
D01|1507020000|25.00|0|0|||0
D01|1508000000|2.00|387136760000|7742735200|||7742735200
D01|7301010000||20772255385186|156664690766|396607205428|812095923|157476786689
