H01|031204|2000000041|2020-12-31|LBASRJS|500|0|
D01|5000000001|4|4|0|5|5|5|5
D01|5000000002|4|4|0|5|5|5|5
D01|5000000003|4|4|0|5|5|5|5
D01|5000000004|4|4|0|5|5|5|5
D01|5000000005|4|4|0|5|5|5|5
D01|5000000006|4|4|0|5|5|5|5
D01|5000000007|4|4|0|5|5|5|5
D01|5000000008|4|4|0|5|5|5|5
D01|5000000009|4|4|0|5|5|5|5
D01|5000000010|4|4|0|5|5|5|5
D01|5000000011|4|4|0|5|5|5|5
D01|5000000012|4|4|0|5|5|5|5
D01|5000000013|4|4|0|5|5|5|5
D01|5000000014|4|4|0|5|5|5|5
D01|5000000015|4|4|0|5|5|5|5
D01|5000000016|4|4|0|5|5|5|5
D01|5000000017|4|4|0|5|5|5|5
D01|5000000018|4|4|0|5|5|5|5
D01|5000000019|4|4|0|5|5|5|5
D01|5000000020|4|4|0|5|5|5|5
D01|5000000021|4||4|5|5|5|
D01|5000000022|84|80|4|105|105|105|100
D01|5000000024|6|6|0|3|3|3|3
D01|5000000025|6|6|0|3|3|3|3
D01|5000000026|6|6|0|3|3|3|3
D01|5000000027|6|6|0|3|3|3|3
D01|5000000028|6|6|0|3|3|3|3
D01|5000000029|6|6|0|3|3|3|3
D01|5000000030|6|6|0|3|3|3|3
D01|5000000031|6|6|0|3|3|3|3
D01|5000000032|6||6|3|3|3|
D01|5000000033|54|48|6|27|27|27|24
D01|5000000034|138|128|10|132|132|132|124
