H01|031204|2000000041|2020-12-31|LBASRJS|212|1|
D01|6101000000|3101|test|11111111|1100|11110011|2.80|311080
D01|6101000000|3101|test|1111|1100|11|2.80|0
D01|6101000000|3102|test|1111|1100|11|2.80|0
D01|6101000000|3103|test|1111|1100|11|4.00|0
D01|6101000000|3104|test|1111|1100|11|6.00|1
D01|6101000000|3103|test|1111|1100|11|4.00|0
D01|6101000000|3103|test|1111|1100|11|4.00|0
D01|6101000000|3103|test|1111|1100|11|4.00|0
D01|6101000000|3103|test|1111|1100|11|4.00|0
D01|6101000000|3103|test|1111|1100|11|4.00|0
D01|6101000000|3103|test|1111|1100|11|4.00|0
D01|6101000000|3103|test|1111|1100|11|4.00|0
D01|6101000000|3103|test|1111|1100|11|4.00|0
