H01|031204|2000000041|2020-12-31|LBASRJS|215|2|TEST-01-LBASRJS-4Net
D01|2152010001|115|115|115||26.45|26.45|26.45
D01|2152010002|23|23|23|15.00|3.45|3.45|3.45
D01|2152010003|23|23|23|20.00|4.60|4.60|4.60
D01|2152010004|23|23|23|30.00|6.90|6.90|6.90
D01|2152010005|23|23|23|20.00|4.60|4.60|4.60
D01|2152010006|23|23|23|30.00|6.90|6.90|6.90
D01|2152010007|189|189|189||6.60|6.60|6.60
D01|2152010008|30|30|30|0.00|0.00|0.00|0.00
D01|2152010009|30|30|30|6.00|1.80|1.80|1.80
D01|2152010010|30|30|30|16.00|4.80|4.80|4.80
D01|2152010011|99|99|99||0.00|0.00|0.00
D01|2152010012|33|33|33|0.00|0.00|0.00|0.00
D01|2152010013|33|33|33|0.00|0.00|0.00|0.00
D01|2152010014|33|33|33|0.00|0.00|0.00|0.00
D01|2152010015|165|165|165||8.71|8.71|8.71
D01|2152010016|33|33|33|1.60|0.53|0.53|0.53
D01|2152010017|33|33|33|2.80|0.92|0.92|0.92
D01|2152010018|33|33|33|4.00|1.32|1.32|1.32
D01|2152010019|33|33|33|6.00|1.98|1.98|1.98
D01|2152010020|33|33|33|12.00|3.96|3.96|3.96
D01|2152010021|33|33|33|10.00|3.30|3.30|3.30
D01|2152010022|66|66|66||6.60|6.60|6.60
D01|2152010023|22|22|22|10.00|2.20|2.20|2.20
D01|2152010024|22|22|22|20.00|4.40|4.40|4.40
D01|2152010025|22|22|22|0.00|0.00|0.00|0.00
D01|2152010026|99|99|99||20.46|20.46|20.46
D01|2152010027|33|33|33|7.00|2.31|2.31|2.31
D01|2152010028|33|33|33|15.00|4.95|4.95|4.95
D01|2152010029|33|33|33|40.00|13.20|13.20|13.20
D01|2152010030|33|33|33|3.00|0.99|0.99|0.99
D01|2152010031|33|33|33|10.00|3.30|3.30|3.30
D01|2152010033|44|44|44|4.00|1.76|1.76|1.76
D01|2152010034|777|777|777||78.17|78.17|78.17
