H01|031204|2000000041|2020-12-31|LBASRJS|211|3|
D01|2111000001|5809|25072|24084||317|1243|1203
D01|2111000003|111|11|11|0.00|0|0|0
D01|2111000004|300|20|20||10|0|0
D01|2111000005|0|4|4|1.20|0|0|0
D01|2111000006|100|4|4|2.10|2|0|0
D01|2111000007|100|4|4|3.00|3|0|0
D01|2111000008|100|4|4|4.50|5|0|0
D01|2111000009|0|4|4|9.00|0|0|0
D01|2111000010|1000|25|20||53|1|0
D01|2111000011|200|5|4|1.60|3|0|0
D01|2111000012|200|5|4|2.80|6|0|0
D01|2111000013|200|5|4|4.00|8|0|0
D01|2111000014|200|5|4|6.00|12|0|0
D01|2111000015|200|5|4|12.00|24|1|0
D01|2111000016|200|1012|25||8|40|1
D01|2111000017|0|3|5|1.60|0|0|0
D01|2111000018|0|3|5|2.80|0|0|0
D01|2111000019|200|1000|5|4.00|8|40|0
D01|2111000020|0|3|5|6.00|0|0|0
D01|2111000021|0|3|5|12.00|0|0|1
D01|2111000022|0|3|5|0.00|0|0|0
D01|2111000023|0|3|5|0.00|0|0|0
D01|2111000024|1200|888|888||74|55|55
D01|2111000025|0|0|0|1.60|0|0|0
D01|2111000026|300|222|222|2.80|8|6|6
D01|2111000027|300|222|222|4.00|12|9|9
D01|2111000028|300|222|222|6.00|18|13|13
D01|2111000029|300|222|222|12.00|36|27|27
D01|2111000030|300|222|222|0.00|0|0|0
D01|2111000031|300|222|222|1.00|3|2|2
D01|2111000032|1732|16000|16000||62|576|576
D01|2111000033|433|4000|4000|1.60|7|64|64
D01|2111000034|433|4000|4000|2.80|12|112|112
D01|2111000035|433|4000|4000|4.00|17|160|160
D01|2111000036|433|4000|4000|6.00|26|240|240
D01|2111000037|222|6666|6666||12|569|569
D01|2111000038|0|0|0||0|0|0
D01|2111000039|0|0|0|2.80|0|0|0
D01|2111000040|0|0|0|4.00|0|0|0
D01|2111000041|222|4444|4444||12|302|302
D01|2111000042|222|2222|2222|5.60|12|124|124
D01|2111000043|0|2222|2222|8.00|0|178|178
D01|2111000044|0|2222|2222|12.00|0|267|267
D01|2111000045|444|0|0||95|0|0
D01|2111000046|0|0|0|1.60|0|0|0
D01|2111000047|222|0|0|2.80|6|0|0
D01|2111000048|222|0|0|40.00|89|0|0
D01|2111000049|0|0|0|60.00|0|0|0
D01|2111000050|0|0|0|12.00|0|0|0
D01|2111000051|8277|608201|605389||309|66290|66289
D01|2111000052|222|1111|0|0.00|0|0|0
D01|2111000053|22|0|0|8.00|2|0|0
D01|2111000054|333|2277|610||33|17|17
D01|2111000055|222|2222|555|0.00|0|0|0
D01|2111000056|111|55|55|30.00|33|17|17
D01|2111000057|3335|444481|444447||133|53334|53333
D01|2111000058|2|33|3|2.80|0|1|0
D01|2111000059|3333|444448|444444||133|53333|53333
D01|2111000060|0|0|0|2.80|0|0|0
D01|2111000061|3333|4|0|4.00|133|0|0
D01|2111000062|0|0|0|6.00|0|0|0
D01|2111000063|0|444444|444444|12.00|0|53333|53333
D01|2111000064|0|0|0|15.00|0|0|0
D01|2111000065|3999|150000|150000||126|11940|11940
D01|2111000066|3333|0|0|2.80|93|0|0
D01|2111000067|666|150000|150000||33|11940|11940
D01|2111000068|0|30000|30000|2.80|0|840|840
D01|2111000069|333|30000|30000|4.00|13|1200|1200
D01|2111000070|333|30000|30000|6.00|20|1800|1800
D01|2111000071|0|30000|30000|12.00|0|3600|3600
D01|2111000072|0|30000|30000|15.00|0|4500|4500
D01|2111000073|366|6888|6888||15|930|930
D01|2111000074|333|3444|3444|2.00|7|69|69
D01|2111000075|33|3444|3444|25.00|8|861|861
D01|2111000076|0|3444|3444|2.00|0|69|69
D01|2111000077|14086|633273|629473||626|67533|67492
