H01|031204|2000000041|2020-12-31|LBASRJS|300|3|
D01|3001010000|1|1|1|1|1|5
D01|3001010001|-6|-10|-10|-10|-10|-46
D01|3001010002|-5|-9|-9|-9|-9|-41
D01|3001010003|-15|-7|-7|-7|-7|-43
D01|3001010004|9|11|11|5|5|41
D01|3001010005||2|2|2|2|8
D01|3001010006|3|||||3
D01|3001010007|3|||||3
D01|3001010008||3|3|||6
D01|3001010009||3|3|||6
D01|3001010010|3|3|3|3|3|15
D01|3001010011|24|18|18|12|12|84
D01|3001010012||3|3|3|3|12
D01|3001010013||||3|3|6
D01|3001010014||||3|3|6
D01|3001010015||3|3|||6
D01|3001010016||3|3|||6
D01|3001010017|3|||||3
D01|3001010018|3|||||3
D01|3001010019|3|||||3
D01|3001010020||3|3|||6
D01|3001010021|3|3|3|||9
D01|3001010022|3|||||3
D01|3001010023|3|||||3
D01|3001010024|3|||||3
D01|3001010025|3|3|3|3|3|15
D01|3001010026|9|-3|-3|-3|-3|-3
D01|3001010027|18|9|9|9|9|54
D01|3001010028|3|3|3|3|3|15
D01|3001010029|3|||||3
D01|3001010030|3|||||3
D01|3001010031|3|3|3|3|3|15
D01|3001010032|3|||||3
D01|3001010033|3|3|3|3|3|15
D01|3001010034|9|12|12|12|12|57
D01|3001010035|3|3|3|3|3|15
D01|3001010036||3|3|3|3|12
D01|3001010037||3|3|3|3|12
D01|3001010038|3|||||3
D01|3001010039|3|3|3|3|3|15
D01|3001010040|0|0|0|0|0|0
D01|3001010041|9|6|6|3|3|27
D01|3001010042|3|||||3
D01|3001010043|3|||||3
D01|3001010044||3|3|||6
D01|3001010045|3|3|3|3|3|15
D01|3001010046|9|6|6|3|3|27
D01|3001010047|3|||||3
D01|3001010048|3|||||3
D01|3001010049||3|3|||6
D01|3001010050|3|3|3|3|3|15
