H01|031204|2000000041|2021-12-31|RBASRJS|1208|2|TEST-01-RBASRJS-4Net
D01|12080100000000|1|2|3|4
D01|12080200000000|8|8|8|8
D01|12080300000000|9|10|11|12
D01|12080400000000|4|4|4|4
D01|12080401000000|10|10|10|10
D01|12080401010000|4|4|4|4
D01|12080401020000|2|2|2|2
D01|12080401030000|2|2|2|2
D01|12080401040000|2|2|2|2
D01|12080402000000|6|6|6|6
D01|12080402010000|1|1|1|1
D01|12080402020000|1|1|1|1
D01|12080402030000|1|1|1|1
D01|12080402040000|1|1|1|1
D01|12080402050000|1|1|1|1
D01|12080402060000|1|1|1|1
D01|12080500000000|2|2|2|2
D01|12080501000000|6|6|6|6
D01|12080501010000|2|2|2|2
D01|12080501020000|2|2|2|2
D01|12080501030000|2|2|2|2
D01|12080502000000|4|4|4|4
D01|12080502010000|1|1|1|1
D01|12080502020000|1|1|1|1
D01|12080502030000|1|1|1|1
D01|12080502040000|1|1|1|1
D01|12080600000000|2|2|2|2
D01|12080601000000|4|4|4|4
D01|12080601010000|2|2|2|2
D01|12080601020000|2|2|2|2
D01|12080602000000|2|2|2|2
D01|12080602010000|1|1|1|1
D01|12080602020000|1|1|1|1
