H01|031202|2000000021|2021-08-31|LBASRUK|500|1|
D01|7100000000||11919074346341|0|11919074346341||
D01|7200000000||11049378010147|0|11049378010147||
D01|7000000099||869696336194|0|869696336194||
D01|7301010000||260627346326|0|260627346326||
D01|7301020000||167784511882|0|167784511882||
D01|7301000099||428411858208|0|428411858208||
D01|7302000000||48056500073|0|48056500073||
D01|7303010000||65571965924|0|65571965924||
D01|7303020000||39631658013|0|39631658013||
D01|7303030000||0|0|0||
D01|7303000099||105203623937|0|105203623937||
D01|7304000000||663312580390||663312580390||
D01|7305000000||4145276044||4145276044||
D01|7300000099||1249129838652|0|1249129838652||
D01|7400000000||||-379433502458||
D01|7000000098||||69.62||
D01|7501000000||0||||
D01|7502000000||0||||
D01|7601000000||0.00|0.00|0.00|0.00|0.00
D01|7602000000||0.00|0.00|0.00|0.00|0.00
D01|7701000000|keterangan|||||
D01|7702000000|keterangan|||||
