H01|031202|2000000021|2021-08-31|LBASRUK|504|2|TEST-02-LBASRUK-4Net
D01|7303010201|15.00|6932700000|1039905000|0|0|1039905000
D01|7303010202|20.00|13051347200|2610269440|0|0|2610269440
D01|7303010301|20.00|0|0|0|0|0
D01|7303010302|30.00|0|0|0|0|0
D01|7303010401|0.00|101759040887|0|0|0|0
D01|7303010402|6.00|28014075988|1680844559|0|0|1680844559
D01|7303010403|16.00|50154218646|8024674983|0|0|8024674983
D01|7303010404|0.00|0|0|0|0|0
D01|7303010501|1.60|0|0|0|0|0
D01|7303010502|2.80|0|0|0|0|0
D01|7303010503|4.00|0|0|0|0|0
D01|7303010504|6.00|0|0|0|0|0
D01|7303010505|12.00|0|0|0|0|0
D01|7303010506|10.00|0|0|||0
D01|7303010507|10.00|0|0|||0
D01|7303010601|10.00|186549761916|18654976192|||18654976192
D01|7303010602|20.00|9810478750|1962095750|||1962095750
D01|7303010603|0.00|0|0|||0
D01|7303010701|7.00|0|0|||0
D01|7303010702|15.00|0|0|||0
D01|7303010703|40.00|0|0|||0
D01|7303010704|3.00|0|0|0|0|0
D01|7303010801|4.00|789980000000|31599200000|||31599200000
D01|7303010900||1186251623387|65571965924|0|0|65571965924
