H01|031205|2000000051|2020-12-31|LBASRUS|200|0|
D01|4101010000|4557762000000|0|0|0|0|4557762000000
D01|4101020000|1059222000000|0|0|0|0|
D01|4101000000|5616984000000|0|0|0|0|5616984000000
D01|4102000000|594437000000||||0|594437000000
D01|4100000000|6211421000000|0|0|0|0|6211421000000
D01|4202000000|0|0|0|0|0|0
D01|4200000000|0|0|0|0|0|0
D01|4300000000|0|0|0|0|0|0
D01|4400000099|0|0|||0|0
D01|4401000000|0|0|0|0|0|0
D01|4403000000||0|||0|0
D01|4400000000||0|||0|0
D01|4500000000||0|||0|0
D01|4600000000||0|||0|0
D01|4000000000|0|0|||0|0
D01|5401020000||0|||0|0
D01|5401030000||0|||0|0
D01|5401000000||0|||0|0
D01|5402000000|||0|0|0|0
D01|5400000000|||0|0|0|0
D01|5500000000||0|0|0|0|0
D01|5600000000||0|||0|0
D01|5700000099||0|||0|0
D01|5701000000||0|||0|
D01|5702000099|0|0|||0|0
D01|5702010000||0|0|0|0|0
D01|5702030000|208910003953||||0|208910003953
D01|5703000000|0||||0|0
D01|5704000000|98458859984||||0|
D01|5700000000|0||||0|0
D01|5801000000|0||||0|0
D01|5802000000|98458859984||||0|98458859984
D01|5803000000|0||||0|0
D01|5804000000|307368863937||||0|307368863937
D01|5805000000|5904052136063|0|0|0|0|5904052136063
D01|5806000000|344444444|0|||0|344444444
D01|5800000000|111111111|0|0|0|0|111111111
D01|5800000001|5904285469396|0|0|0|0|5904285469396
D01|5800000002|6555555|0|0|0|0|6555555
D01|5800000003|5904278913841|0|0|0|0|5904278913841
D01|5800000004|0||||0|0
D01|5800000005|5904278913841|0|0|0|0|5904278913841
