H01|031205|2000000051|2020-12-31|LBASRUS|215|2|TEST-02-LBASRUS-4Net
D01|2152010000|26800|26800|26800||3183|3183|3183
D01|2152010001|5000|5000|5000||1150|1150|1150
D01|2152010002|1000|1000|1000|15.00|150|150|150
D01|2152010003|1000|1000|1000|20.00|200|200|200
D01|2152010004|1000|1000|1000|30.00|300|300|300
D01|2152010005|1000|1000|1000|20.00|200|200|200
D01|2152010006|1000|1000|1000|30.00|300|300|300
D01|2152010007|9000|9000|9000||220|220|220
D01|2152010008|1000|1000|1000|0.00|0|0|0
D01|2152010009|1000|1000|1000|6.00|60|60|60
D01|2152010010|1000|1000|1000|16.00|160|160|160
D01|2152010011|6000|6000|6000||0|0|0
D01|2152010012|2000|2000|2000|0.00|0|0|0
D01|2152010013|2000|2000|2000|0.00|0|0|0
D01|2152010014|2000|2000|2000|0.00|0|0|0
D01|2152010015|1000|1000|1000||53|53|53
D01|2152010016|200|200|200|1.60|3|3|3
D01|2152010017|200|200|200|2.80|6|6|6
D01|2152010018|200|200|200|4.00|8|8|8
D01|2152010019|200|200|200|6.00|12|12|12
D01|2152010020|200|200|200|12.00|24|24|24
D01|2152010021|200|200|200|10.00|20|20|20
D01|2152010022|1600|1600|1600||240|240|240
D01|2152010023|800|800|800|10.00|80|80|80
D01|2152010024|800|800|800|20.00|160|160|160
D01|2152010025|6000|6000|6000||1240|1240|1240
D01|2152010026|2000|2000|2000|7.00|140|140|140
D01|2152010027|2000|2000|2000|15.00|300|300|300
D01|2152010028|2000|2000|2000|40.00|800|800|800
D01|2152010029|2000|2000|2000|3.00|60|60|60
D01|2152010030|2000|2000|2000|10.00|200|200|200
D01|2152010031|1000|1000|1000||40|40|40
D01|2152010032|1000|1000|1000|4.00|40|40|40
D01|2152010033|27800|27800|27800||3223|3223|3223
