H01|031205|2000000051|2021-03-31|LBASRUS|500|3|
D01|5000000001|0|0|0|0|0|0|0
D01|5000000002|0|0|0|0|0|0|0
D01|5000000003|2|0|2|0|0|0|0
D01|5000000004|0|0|0|0|0|0|0
D01|5000000005|0|4|-4|0|0|0|0
D01|5000000006|0|0|0|0|5|0|0
D01|5000000007|3|0|3|5|0|0|0
D01|5000000008|0|0|0|0|0|5|0
D01|5000000009|0|0|0|0|0|0|0
D01|5000000010|0|5|-5|0|0|0|0
D01|5000000011|0|0|0|0|0|0|5
D01|5000000012|0|0|0|0|0|5|0
D01|5000000013|0|0|0|5|5|0|0
D01|5000000014|4|0|4|0|0|0|0
D01|5000000015|0|0|0|0|0|0|5
D01|5000000016|0|5|-5|0|0|0|0
D01|5000000017|0|0|0|0|5|5|0
D01|5000000018|0|0|0|0|0|0|0
D01|5000000019|0|0|0|0|0|0|5
D01|5000000020|0|0|0|0|0|0|0
D01|5000000021|0||0||||
D01|5000000022|9|14|-5|10|15|15|15
D01|5000000024|0|0|0|0|0|0|0
D01|5000000025|0|5|-5|6|0|0|0
D01|5000000026|0|0|0|0|0|6|0
D01|5000000027|0|5|-5|6|6|0|5
D01|5000000028|5|0|5|0|0|0|0
D01|5000000029|0|0|0|0|0|0|6
D01|5000000030|0|0|0|6|6|0|0
D01|5000000031|0|0|0|0|0|0|0
D01|5000000032|0||0||||
D01|5000000033|5|10|-5|18|12|6|11
D01|5000000034|14|24|-10|28|27|21|26
