H01|031405|2100000099|2023-05-31|LBPPIK|2150|1|
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e19|EN:e3821|EN:e2955|KT:e2|SE:e01111|LO:e1107|BJ:e131|123ada|AK:e56|JK:e37|20210302|20210505|12345|0|0|12345|6|12345|12345|MU:IDR|JK:e50|12344|23.45|0|0|123|123|JK:e68|SF:e9|SF:e9|20210304|123|12345|JK:e62|12345|12345|12345|20.34|aasdf|123|BJ:e6|123
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e56|JK:e37|20210302|20210505|12345|0|0|12345|18|12345|12345|MU:AMD|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|12345|12345|12345|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e56|JK:e38|20210302|20210505|12345|0|0|12345|1|12345|12345|MU:IDR|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|12345|12345|12345|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e56|JK:e38|20210302|20210505|12345|0|0|12345|0|12345|12345|MU:AMD|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|12345|12345|12345|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e57|JK:e38|20210302|20210505|12345|0|0|12345|6|12345|12345|MU:IDR|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|12345|12345|12345|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e57|JK:e38|20210302|20210505|12345|0|0|12345|12|12345|12345|MU:AMD|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|12345|12345|12345|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e58|JK:e38|20210302|20210505|12345|0|0|12345|12|12345|12345|MU:IDR|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|6|0|0|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e58|JK:e38|20210302|20210505|12345|0|0|12345|18|12345|12345|MU:AMD|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|0|0|6|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e59|JK:e38|20210302|20210505|12345|0|0|12345|12|12345|12345|MU:IDR|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|0|6|0|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e59|JK:e38|20210302|20210505|12345|0|0|12345|18|12345|12345|MU:AMD|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|0|0|6|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e60|JK:e38|20210302|20210505|12345|0|0|12345|12|12345|12345|MU:IDR|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|0|0|6|20.34|aasdf|124|BJ:e7|124
D01|2150010000|123wwq|aasdf|EN:e3286|EN:e20|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|1233|AK:e60|JK:e38|20210302|20210505|12345|0|0|12345|18|12345|12345|MU:AMD|JK:e51|12344|23.45|0|0|123|123|JK:e69|SF:e9|SF:e9|20210304|123|12345|JK:e63|6|0|0|20.34|aasdf|124|BJ:e7|124
