H01|031405|2100000099|2023-05-31|LBPPIK|2100|2|LBPPIK-1
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e16|EN:e3821|EN:e2955|KT:e2|SE:e01111|LO:e1107|BJ:e131|123ada|AK:e51|20200301|20210302|12345|12345|12|12345|12|MU:IDR|JK:e12|12344|12.50|12345|12345|12000|1300|JK:e68|SF:e2|SF:e9|20210904|123|12345|JK:e62|12|0|0|20.00|aasdf|123|BJ:e3|123
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e51|20200301|20210302|12345|12345|12|12345|12|MU:AMD|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|0|12|0|20.00|aasdf|124|BJ:e3|124
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e52|20200301|20210302|12345|12345|18|12345|18|MU:IDR|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|0|18|0|20.00|aasdf|124|BJ:e3|124
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e52|20200301|20210302|12345|12345|12|12345|12|MU:AMD|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|0|12|0|20.00|aasdf|124|BJ:e3|124
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e53|20200301|20210302|12345|12345|12|12345|12|MU:IDR|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|0|0|12|20.00|aasdf|124|BJ:e3|124
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e53|20200301|20210302|12345|12345|12|12345|12|MU:AMD|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|12|0|0|20.00|aasdf|124|BJ:e3|124
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e54|20200301|20210302|12345|12345|12|12345|12|MU:IDR|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|0|6|0|20.00|aasdf|124|BJ:e3|124
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e54|20200301|20210302|12345|12345|12|12345|12|MU:AMD|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|12|0|0|20.00|aasdf|124|BJ:e3|124
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e55|20200301|20210302|12345|12345|12|12345|12|MU:IDR|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|0|6|0|20.00|aasdf|124|BJ:e3|124
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e55|20200301|20210302|12345|12345|12|12345|12|MU:AMD|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|0|0|12|20.00|aasdf|124|BJ:e3|124
D01|2100010000|123wwq|aasdf|EN:e3289|EN:e17|EN:e3822|EN:e2956|KT:e3|SE:e01112|LO:e1108|BJ:e132|123ada|AK:e56|20200301|20210302|12345|12345|12|12345|12|MU:IDR|JK:e49|12344|12.50|12345|12345|1200|1388|JK:e69|SF:e3|SF:e9|20210403|123|12345|JK:e63|6|0|0|20.00|aasdf|124|BJ:e3|124
