H01|031401|251030|2021-12-31|REPPU|040301|0|
D01|04030101000000|nama Konsumen Pihak Terkait 1|JK:e53|JK:e25|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 2|JK:e25|JK:e26|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 3|JK:e30|JK:e27|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 4|JK:e36|JK:e28|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 5|JK:e53|JK:e29|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 6|JK:e25|JK:e30|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 7|JK:e30|JK:e31|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 8|JK:e36|JK:e32|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 9|JK:e53|JK:e33|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 10|JK:e25|JK:e34|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 11|JK:e30|JK:e35|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 12|JK:e36|JK:e36|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 13|JK:e53|JK:e37|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 14|JK:e25|JK:e38|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 15|JK:e30|JK:e46|1122|1212|90
D01|04030101000000|nama Konsumen Pihak Terkait 16|JK:e36|JK:e47|1122|1212|90
D01|04030102000000||||17952|19392|1440
D01|04030103000000||||3232|2332|-900
D01|04030104000000||||555.45|831.56|-160.00
