H01|031401|251030|2021-12-31|REPPK|040301|0|
D01|04030101000000|nama Debitur Pihak Terkait|JK:e14|JK:e16|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e14|JK:e17|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e52|JK:e18|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e53|JK:e19|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e25|JK:e22|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e30|JK:e21|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e36|JK:e28|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e54|JK:e16|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e13|JK:e17|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e14|JK:e18|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e52|JK:e19|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e53|JK:e22|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e25|JK:e21|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e30|JK:e28|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e36|JK:e37|23233|21212|-2021
D01|04030101000000|nama Debitur Pihak Terkait|JK:e54|JK:e38|23233|21212|-2021
D01|04030102000000||||371728|339392|-32336
D01|04030103000000||||333|2122|1789
D01|04030104000000||||111630.03|15993.97|-95636.06
