H01|031401|251030|2021-12-31|REPPK|100100|0|
D01|10010101000000||23.45|23.45|0.00
D01|10010102000000||1333|1333|0
D01|10010103000000||22.32|22.32|0.00
D01|10010104000000|asumsi Lainnya 1|sadsddas 200 karakter|sadsddas 200 karakter|sadsddas 200 karakter
D01|10010104000000|asumsi Lainnya 2|sadsddas 200 karakter|sadsddas 200 karakter|sadsddas 200 karakter
D01|10010201000000||34.21|34.21|0.00
D01|10010202000000||34.21|34.21|0.00
D01|10010203000000||34.21|34.21|0.00
D01|10010204000000||34.21|34.21|0.00
D01|10010205000000||34.21|34.21|0.00
D01|10010206000000|asumsi mikro lainnya 1|200 karakter|200 karakter|200 karakter
D01|10010206000000|asumsi mikro lainnya 2|sadsddas 200 karakter|sadsddas 200 karakter|sadsddas 200 karakter
