H01|031203|2000000031|2021-08-31|LBREASK|104|0|
D01|1400040100|Grup Mandiri|101|605146120000|1|605146120000|212
D01|1400040100|Grup Mandiri|102|1|1|1|212
D01|1400040100|Grup Mandiri|103|1|1|1|212
D01|1400040100|Grup Mandiri|104|6979000000|1|6979000000|212
D01|1400040100|Grup Mandiri|105|1|1|1|212
D01|1400040100|Grup Mandiri|110|6894857123|1|6894857123|212
D01|1400040100|Group BRI|101|194929000000|1|194929000000|212
D01|1400040100|Group BRI|102|1|1|1|212
D01|1400040100|Group BRI|103|1|1|1|212
D01|1400040100|Group BRI|104|7060800000|1|7060800000|212
D01|1400040100|Group BNI|101|337350331644|1|337350331644|212
D01|1400040100|Grup BTN|101|3015000000|1|3015000000|212
D01|1400040100|Grup BTN|102|1|1|1|212
D01|1400040100|Grup BTN|103|1|1|1|212
D01|1400040100|Grup BTN|104|8132000000|1|8132000000|212
D01|1400040100|Grup Bank Jabar|101|500000000|1|500000000|212
D01|1400040100|Grup Bank Jabar|102|1|1|1|212
D01|1400040100|Grup Bank Jabar|103|1|1|1|212
D01|1400040100|Grup Bank Jabar|104|4884925000|1|4884925000|212
D01|1400040100|Group Salim|101|1|1|1|212
D01|1400040100|Group Salim|102|1|1|1|212
D01|1400040100|PT Indofood|103|1|1|1|212
D01|1400040100|PT Indofood|104|17322440000|1|17322440000|212
D01|1400040100|Telkom|101|1|1|1|212
D01|1400040100|Telkom|102|1|1|1|212
D01|1400040100|Telkom|103|1|1|1|212
D01|1400040100|Telkom|104|13797000000|1|13797000000|212
D01|1400040100|Grup CIMB Niaga|101|37957500000|1|37957500000|212
D01|1400040100|Grup Astra|101|1|1|1|212
D01|1400040100|Grup Astra|102|1|1|1|212
D01|1400040100|Grup Astra|103|1|1|1|212
D01|1400040100|Grup Astra|104|7745000000|1|7745000000|212
D01|1400040100|Danareksa|101|1|1|1|212
D01|1400040100|Danareksa|102|1|1|1|212
D01|1400040100|Danareksa|103|1|1|1|212
D01|1400040100|Danareksa|104|1|1|1|212
D01|1400040100|Danareksa|105|1|1|1|212
D01|1400040100|Danareksa|110|3433607875|1|3433607875|212
D01|1400040100|Grup Panin|101|1|1|1|212
D01|1400040100|Grup Panin|102|1|1|1|212
D01|1400040100|Grup Panin|103|1|1|1|212
D01|1400040100|Grup Panin|104|1|1|1|212
D01|1400040100|Grup Panin|105|1|1|1|212
D01|1400040100|Grup Panin|110|78168294634|1|78168294634|212
D01|1400040100|Grup Bank Riau|101|1075000000|1|1075000000|212
D01|1400040100|BII|101|3320000000|1|3320000000|212
D01|1400040100|Bank Sumut|101|10227000000|1|10227000000|212
D01|1400040100|Bank Bukopin|101|5250000000|1|5250000000|212
D01|1400040100|Bank DKI|101|100000000|1|100000000|212
D01|1400040100|Waskita Karya|101|1|1|1|212
D01|1400040100|Waskita Karya|102|1|1|1|212
D01|1400040100|Waskita Karya|103|1008000000|1|1008000000|212
D01|1400040100|Grup Garuda|101|1|1|1|212
D01|1400040100|Grup Garuda|102|1|1|1|212
D01|1400040100|Grup Garuda|103|1986617000|1|1986617000|212
D01|1400040100|Grup Medco|101|53818000000|1|53818000000|212
D01|1400040200|||1410100493308|56|1410100493308|11872
