H01|031203|2000000031|2021-08-31|LBREASK|503|2|TEST-03-LBREASK-4Net
D01|1401000000|1348755451644|0|0|0|0|
D01|1402000000|0|0|0|0|0|
D01|1403000000|19984047200|0|0|0|0|
D01|1404000000|96624470000|50349000000|39981334598|9127500000|0|
D01|1420000000|0|0|0|0|0|
D01|1405000000|0|0|0|0|0|
D01|1406000000|0|0|58525000000|238731150000|128087500000|
D01|1407000000|0|0|0|0|0|
D01|1408000000|0|0|0|0|0|
D01|1409000000|0|0|0|0|0|
D01|1410000000|179927335521|0|0|0|0|
D01|1411000000|0|0|0|0|0|
D01|1412000000|0|0|0|0|0|
D01|1421000000|0|0|0|0|0|
D01|1413000000|0|0|0|0|0|
D01|1414000000|0|0|0|0|196360240666|
D01|1415000000|0|0|0|0|0|
D01|1416000000|0|0|0|0|0|
D01|1417000000|0|0|0|0|0|
D01|1418000000|0|0|0|0|0|
D01|1419000000|0|0|0|0|0|
D01|1499000000|0|0|0|0|0|
D01|1400000000|1645291304365|50349000000|98506334598|247858650000|324447740666|
D01|1501000000|480663092572|0|0|0|0|
D01|1502000000|2126704289360|0|0|0|0|
D01|1503000000|199246962844|0|0|0|0|
D01|1504000000|5382714343882|0|0|0|0|
D01|1505000000|452232546602|0|0|0|0|
D01|1506000000|1469835541282|0|0|0|0|
D01|1507000000|0|0|0|0|0|
D01|1508000000|0|0|0|0|0|
D01|1509000000|0|0|0|0|789980000000|
D01|1510000000|0|0|0|0|0|
D01|1511000000|0|0|0|0|0|
D01|1599000000|0|0|0|0|0|
D01|1500000000|10111396776542|0|0|0|789980000000|
D01|1000000000|11756688080907|50349000000|98506334598|247858650000|1114427740666|
D01|2401000000|441784970306|0|0|0|0|
D01|2402000000|492081960560|113340210675|0|0|0|
D01|2403000000|1031887417571|23313153039|227051097185|205425467538|37357302723|
D01|2404000000|98094880000|26120235531|0|0|0|
D01|2405000000|19805725288|0|0|0|0|
D01|2406000000|20639000000|0|0|0|0|
D01|2407000000|715073144047|382632330000|0|0|0|
D01|2400000000|2819367097772|545405929245|227051097185|205425467538|37357302723|
D01|2501000000|0|577810810000|0|0|0|
D01|2502000000|2054642600408|0|0|0|0|
D01|2503000000|4582317699656|0|0|0|0|
D01|2504000000|0|0|0|0|0|
D01|2500000000|6636960300064|577810810000|0|0|0|
D01|2000000000|9456327397836|1123216739245|227051097185|205425467538|37357302723|
D01|9000000000|-2300360683071|1072867739245|128544762587|-42433182462|-1077070437943|
D01|7302010000|0|42914709570|5141790503|0|0|48056500073
D01|2501020000||||||0
D01|7302020100||||||1.00
D01|7302020000||||||0
D01|7302000000||||||48056500073
