H01|031203|2000000031|2035-12-31|RBREASUS|1206|1|
D01|12060100000000|1|2|3|4
D01|12060200000000|8|8|8|8
D01|12060300000000|9|10|11|12
D01|12060400000000|4|4|4|4
D01|12060401000000|10|10|10|10
D01|12060401010000|4|4|4|4
D01|12060401020000|2|2|2|2
D01|12060401030000|2|2|2|2
D01|12060401040000|2|2|2|2
D01|12060402000000|6|6|6|6
D01|12060402010000|1|1|1|1
D01|12060402020000|1|1|1|1
D01|12060402030000|1|1|1|1
D01|12060402040000|1|1|1|1
D01|12060402050000|1|1|1|1
D01|12060402060000|1|1|1|1
D01|12060500000000|2|2|2|2
D01|12060501000000|6|6|6|6
D01|12060501010000|2|2|2|2
D01|12060501020000|2|2|2|2
D01|12060501030000|2|2|2|2
D01|12060502000000|4|4|4|4
D01|12060502010000|1|1|1|1
D01|12060502020000|1|1|1|1
D01|12060502030000|1|1|1|1
D01|12060502040000|1|1|1|1
D01|12060600000000|2|2|2|2
D01|12060601000000|4|4|4|4
D01|12060601010000|2|2|2|2
D01|12060601020000|2|2|2|2
D01|12060602000000|2|2|2|2
D01|12060602010000|1|1|1|1
D01|12060602020000|1|1|1|1
