H01|031206|2000000061|2021-03-31|LBREASS|600|1|
D01|7001010000|11111|11111|11111|11111|11111|11111|11111
D01|7001020000|11111|11111|11111|11111|11111|11111|11111
D01|7001000000|11111|11111|11111|11111|11111|11111|11111
D01|7002000099|11111|11111|11111|11111|11111|11111|11111
D01|7002010000|11111|11111|11111|11111|11111|11111|11111
D01|7002020000|11111|11111|11111|11111|11111|11111|11111
D01|7002030000|11111|11111|11111|11111|11111|11111|11111
D01|7002000000|11111|11111|11111|11111|11111|11111|11111
D01|7003000099|11111|11111|11111|11111|11111|11111|11111
D01|7003010000|11111|11111|11111|11111|11111|11111|11111
D01|7003020000|11111|11111|11111|11111|11111|11111|11111
D01|7003000000|11111|11111|11111|11111|11111|11111|11111
D01|7004000099|11111|11111|11111|11111|11111|11111|11111
D01|7004010000|11111|11111|11111|11111|11111|11111|11111
D01|7004020000|11111|11111|11111|11111|11111|11111|11111
D01|7004030000|11111|11111|11111|11111|11111|11111|11111
D01|7004040000|11111|11111|11111|11111|11111|11111|11111
D01|7004050000|11111|11111|11111|11111|11111|11111|11111
D01|7004060000|199998|199998|199998|199998|199998|199998|199998
D01|7004000000|11111|11111|11111|11111|11111|11111|11111
D01|7005000000|11111|11111|11111|11111|11111|11111|11111
D01|1400000000|11111|11111|11111|11111|11111|11111|11111
D01|7005010000|11111|11111|11111|11111|11111|11111|11111
D01|7005030000|11111|11111|11111|11111|11111|11111|11111
D01|7006000099|11111|11111|11111|11111|11111|11111|11111
D01|3000000000|11111|11111|11111|11111|11111|11111|11111
D01|7006010000|11111|11111|11111|11111|11111|11111|11111
D01|7006000000|11111|11111|11111|11111|11111|11111|11111
D01|7007000099|11111|11111|11111|11111|11111|11111|11111
D01|7002000098|111110|111110|111110|111110|111110|111110|111110
D01|7007010000|311108|311108|311108|311108|311108|311108|311108
